Brand,Generic Category,Category,Sub Category,SKU,Product Name,Product Variant Name,Processor,Connectivity,Memory,Storage,Colour,Display,ALP Inc VAT,Media URLs,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MA591ZM/C,Apple 30-pin to,Apple 30-pin to USB Cable,,,,,,,"1,800.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MC556HN/B,17-inch MacBook Pro,Apple 85W MagSafe Power Adapter (for 15- and 17-inch MacBook Pro),,,,,,,"7,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MC9C4ZM/A,Thunderbolt 5 (USB‑C),Thunderbolt 5 (USB‑C) Pro Cable (1 m),,,,,,,"6,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MD504ZM/A,Apple MagSafe to,Apple MagSafe to MagSafe 2 Converter,,,,,,,"1,000.00",https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Apple%20MagSafe%20to%20MagSafe%202%20Converter/1.webp,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MD565HN/A,Apple 60W MagSafe,Apple 60W MagSafe 2 Power Adapter (MacBook Pro with 13-inch Retina display),,,,,,,"7,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MD592HN/A,Apple 45W MagSafe,Apple 45W MagSafe 2 Power Adapter (for MacBook Air),,,,,,,"7,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MD819ZM/A,Lightning to USB,Lightning to USB Cable (2 m),,,,,,,"2,900.00",https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Lightning%20to%20USB%20Cable%20(2%20m)/Lightning%20to%20USB%20Cable%20(0.5%20m)1.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Lightning%20to%20USB%20Cable%20(2%20m)/Lightning%20to%20USB%20Cable%20(0.5%20m)2.jpg;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Lightning%20to%20USB%20Cable%20(2%20m)/Lightning%20to%20USB%20Cable%20(0.5%20m).webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Lightning%20to%20USB%20Cable%20(2%20m)/Lightning%20to%20USB%20Cable%20(0.5%20m)3.webp,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MD821ZM/A,Lightning to USB,Lightning to USB Camera Adapter,,,,,,,"2,900.00",https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Lightning%20to%20USB%20Camera%20Adapter/2.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/Lightning%20to%20USB%20Camera%20Adapter/1.webp,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MD825ZM/A,Lightning to VGA,Lightning to VGA Adapter,,,,,,,"5,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MDFV4HN/A,Magic Keyboard,Magic Keyboard for iPad Air 11-inch (M3) - US English - White,,,,,,,"26,900.00",,,,,,,,,,,,,,,,,,,,
