BRAND,CATEGORY,SUB CATEGORY,SKU,Description,Processor,Connectivity,Memory,Storage,Colour,Display,ALP Inc VAT
APPLE,ACCESSORIES,Power & Cables,MA591ZM/C,Apple 30-pin to USB Cable,,,,,,,"1,800.00"
APPLE,ACCESSORIES,Power & Cables,MC556HN/B,Apple 85W MagSafe Power Adapter (for 15- and 17-inch MacBook Pro),,,,,,,"7,500.00"
APPLE,ACCESSORIES,Power & Cables,MC9C4ZM/A,Thunderbolt 5 (USB‑C) Pro Cable (1 m),,,,,,,"6,900.00"
APPLE,ACCESSORIES,Power & Cables,MD504ZM/A,Apple MagSafe to MagSafe 2 Converter,,,,,,,"1,000.00"
APPLE,ACCESSORIES,Power & Cables,MD565HN/A,Apple 60W MagSafe 2 Power Adapter (MacBook Pro with 13-inch Retina display),,,,,,,"7,500.00"
APPLE,ACCESSORIES,Power & Cables,MD592HN/A,Apple 45W MagSafe 2 Power Adapter (for MacBook Air),,,,,,,"7,500.00"
APPLE,ACCESSORIES,Power & Cables,MD819ZM/A,Lightning to USB Cable (2 m),,,,,,,"2,900.00"
APPLE,ACCESSORIES,Power & Cables,MD821ZM/A,Lightning to USB Camera Adapter,,,,,,,"2,900.00"
APPLE,ACCESSORIES,Power & Cables,MD825ZM/A,Lightning to VGA Adapter,,,,,,,"5,500.00"
APPLE,ACCESSORIES,Mice & Keyboards,MDFV4HN/A,Magic Keyboard for iPad Air 11-inch (M3) - US English - White,,,,,,,"26,900.00"
APPLE,ACCESSORIES,Mice & Keyboards,MDFW4HN/A,Magic Keyboard for iPad Air 13-inch (M3) - US English - White,,,,,,,"29,900.00"
APPLE,ACCESSORIES,Power & Cables,ME291ZM/A,Lightning to USB Cable (0.5 m),,,,,,,"1,800.00"
APPLE,ACCESSORIES,Power & Cables,MGN03HN/A,Apple 12W USB Power Adapter,,,,,,,"1,900.00"
APPLE,ACCESSORIES,Power & Cables,MJ1L2ZM/A,USB-C VGA Multiport Adapter,,,,,,,"6,800.00"
APPLE,ACCESSORIES,HomePod,MJ2C3HN/A,HomePod mini - Blue,,,,,,,"10,900.00"
APPLE,ACCESSORIES,HomePod,MJ2D3HN/A,HomePod mini - Orange,,,,,,,"10,900.00"
APPLE,ACCESSORIES,HomePod,MJ2E3HN/A,HomePod mini - Yellow,,,,,,,"10,900.00"
APPLE,ACCESSORIES,Power & Cables,MJYT2ZM/A,Lightning to SD Card Camera Reader,,,,,,,"2,900.00"
APPLE,ACCESSORIES,Power & Cables,ML8M2HN/A,Apple 5W USB Power Adapter,,,,,,,"1,900.00"
APPLE,ACCESSORIES,Power & Cables,MMX62ZM/A,Lightning to 3.5 mm Headphone Jack Adapter,,,,,,,900.00
APPLE,ACCESSORIES,Apple TV,MN873HN/A,Apple TV 4K Wi‑Fi with 64GB storage,,,,,,,"14,900.00"
APPLE,ACCESSORIES,Apple TV,MN893HN/A,Apple TV 4K Wi‑Fi + Ethernet with 128GB storage,,,,,,,"16,900.00"
APPLE,ACCESSORIES,Mice & Keyboards,MQDP3HN/A,Magic Keyboard Folio for iPad (A16) - US English,,,,,,,"24,900.00"
APPLE,ACCESSORIES,HomePod,MQJ73HN/A,HomePod - Midnight,,,,,,,"32,900.00"
APPLE,ACCESSORIES,HomePod,MQJ83HN/A,HomePod - White,,,,,,,"32,900.00"
APPLE,ACCESSORIES,Power & Cables,MR2C2ZM/A,Lightning to 3.5mm Audio Cable (1.2m) - Black,,,,,,,"3,800.00"
APPLE,ACCESSORIES,Apple Watch Accessories,MT0H3ZM/A,Apple Watch Magnetic Fast Charger to USB-C Cable (1 m),,,,,,,"2,900.00"
APPLE,ACCESSORIES,HomePod,MTJT3HN/A,HomePod mini - Midnight,,,,,,,"10,900.00"
APPLE,ACCESSORIES,AirPods,MTJV3HN/A,AirPods Pro 2,,,,,,,"24,900.00"
APPLE,ACCESSORIES,Power & Cables,MUQ93ZM/A,USB-C to Lightning Cable (1m),,,,,,,"1,900.00"
APPLE,ACCESSORIES,Power & Cables,MUQW3ZM/A,Lightning to USB Cable (1m),,,,,,,"1,800.00"
APPLE,ACCESSORIES,Power & Cables,MUQX3ZM/A,USB-C to Lightning Adapter,,,,,,,"2,900.00"
APPLE,ACCESSORIES,Power & Cables,MUVR3HN/A,20W USB-C Power Adapter,,,,,,,"1,900.00"
APPLE,ACCESSORIES,Apple iPad Accessories,MUWA3ZM/A,Apple Pencil (USB-C),,,,,,,"7,900.00"
APPLE,ACCESSORIES,Power & Cables,MW2G3HN/A,30W USB-C Power Adapter,,,,,,,"3,800.00"
APPLE,ACCESSORIES,Power & Cables,MW2K3HN/A,35W Dual USB-C Power Adapter,,,,,,,"5,800.00"
APPLE,ACCESSORIES,Power & Cables,MW2L3HN/A,96W USB-C Power Adapter,,,,,,,"7,500.00"
APPLE,ACCESSORIES,Power & Cables,MW2M3HN/A,140W USB-C Power Adapter,,,,,,,"9,500.00"
APPLE,ACCESSORIES,Power & Cables,MW2N3HN/A,Power Adapter Extension Cable,,,,,,,"1,900.00"
APPLE,ACCESSORIES,Power & Cables,MW2P3ZM/A,Lightning to Digital AV Adapter,,,,,,,"5,500.00"
APPLE,ACCESSORIES,Power & Cables,MW2Q3ZM/A,USB-C to 3.5 mm Headphone Jack Adapter,,,,,,,900.00
APPLE,ACCESSORIES,Power & Cables,MW2R3ZM/A,USB-C to Lightning Cable (2 m),,,,,,,"2,900.00"
APPLE,ACCESSORIES,Power & Cables,MW493ZM/A,60W USB-C Charge Cable (1m),,,,,,,"1,900.00"
